"sample_unique"	"Accession_dorado"	"Accession_rerio"	"MDRO_dorado"	"MDRO_rerio"	"Accession_short"	"Accession_PRJNA903550"	"Accession_PRJNA1076808"	"SRR_dorado"	"SRR_rerio"	"SRR_short"	"empty"
"RIVM_C059466"	"SAMN39949595"	"SAMN39949951"	"Escherichia coli"	"Escherichia coli"	"SAMN39950684"	""	"SAMN39950684"	"SRR27972369"	"SRR27972442"	"SRR27977055"	""
"RIVM_C059467"	"SAMN39949596"	"SAMN39949952"	"Escherichia coli"	"Escherichia coli"	"SAMN39950685"	""	"SAMN39950685"	"SRR27972368"	"SRR27972441"	"SRR27977054"	""
"RIVM_C059468"	"SAMN39949597"	"SAMN39949953"	"Enterobacter cloacae"	"Enterobacter cloacae"	"SAMN39950686"	""	"SAMN39950686"	"SRR27972367"	"SRR27972440"	"SRR27977053"	""
"RIVM_C059473"	"SAMN39949598"	"SAMN39949954"	"Escherichia coli"	"Escherichia coli"	"SAMN39950687"	""	"SAMN39950687"	"SRR27972366"	"SRR27972439"	"SRR27977052"	""
"RIVM_C059478"	"SAMN39949599"	"SAMN39949955"	"Escherichia coli"	"Escherichia coli"	"SAMN39950688"	""	"SAMN39950688"	"SRR27972365"	"SRR27972437"	"SRR27977275"	""
"RIVM_C059479"	"SAMN39949600"	"SAMN39949956"	"Escherichia coli"	"Escherichia coli"	"SAMN39950689"	""	"SAMN39950689"	"SRR27972364"	"SRR27972436"	"SRR27977274"	""
"RIVM_C059493"	"SAMN39949601"	"SAMN39949957"	"Pseudomonas aeruginosa"	"Pseudomonas aeruginosa"	"SAMN39950690"	""	"SAMN39950690"	"SRR27972363"	"SRR27972435"	"SRR27977273"	""
"RIVM_M096462"	"SAMN39949602"	"SAMN39949958"	"Staphylococcus aureus"	"Staphylococcus aureus"	"SAMN39950691"	""	"SAMN39950691"	"SRR27972362"	"SRR27972434"	"SRR27977272"	""
"RIVM_M096676"	"SAMN39949603"	"SAMN39949959"	"Staphylococcus aureus"	"Staphylococcus aureus"	"SAMN39950692"	""	"SAMN39950692"	"SRR27972361"	"SRR27972433"	"SRR27977271"	""
"RIVM_M096678"	"SAMN39949604"	"SAMN39949960"	"Staphylococcus aureus"	"Staphylococcus aureus"	"SAMN39950693"	""	"SAMN39950693"	"SRR27972360"	"SRR27972432"	"SRR27977270"	""
"RIVM_M096693"	"SAMN39949605"	"SAMN39949961"	"Staphylococcus aureus"	"Staphylococcus aureus"	"SAMN39950694"	""	"SAMN39950694"	"SRR27972358"	"SRR27972431"	"SRR27977268"	""
"RIVM_M096715"	"SAMN39949606"	"SAMN39949962"	"Staphylococcus aureus"	"Staphylococcus aureus"	"SAMN39950695"	""	"SAMN39950695"	"SRR27972357"	"SRR27972430"	"SRR27977267"	""
"RIVM_M096716"	"SAMN39949607"	"SAMN39949963"	"Staphylococcus aureus"	"Staphylococcus aureus"	"SAMN39950696"	""	"SAMN39950696"	"SRR27972356"	"SRR27972429"	"SRR27977266"	""
"RIVM_M096728"	"SAMN39949608"	"SAMN39949964"	"Staphylococcus aureus"	"Staphylococcus aureus"	"SAMN39950697"	""	"SAMN39950697"	"SRR27972931"	"SRR27972428"	"SRR27977265"	""
"RIVM_M096729"	"SAMN39949609"	"SAMN39949965"	"Staphylococcus aureus"	"Staphylococcus aureus"	"SAMN39950698"	""	"SAMN39950698"	"SRR27972930"	"SRR27972994"	"SRR27977264"	""
"RIVM_M096730"	"SAMN39949610"	"SAMN39949966"	"Staphylococcus aureus"	"Staphylococcus aureus"	"SAMN39950699"	""	"SAMN39950699"	"SRR27972929"	"SRR27972993"	"SRR27977263"	""
"RIVM_M096740"	"SAMN39949611"	"SAMN39949967"	"Staphylococcus aureus"	"Staphylococcus aureus"	"SAMN39950700"	""	"SAMN39950700"	"SRR27972928"	"SRR27972992"	"SRR27977262"	""
"RIVM_M096747"	"SAMN39949612"	"SAMN39949968"	"Staphylococcus aureus"	"Staphylococcus aureus"	"SAMN39950701"	""	"SAMN39950701"	"SRR27972927"	"SRR27972991"	"SRR27977261"	""
"RIVM_M096750"	"SAMN39949613"	"SAMN39949969"	"Staphylococcus aureus"	"Staphylococcus aureus"	"SAMN39950702"	""	"SAMN39950702"	"SRR27972926"	"SRR27972990"	"SRR27977260"	""
"RIVM_M096758"	"SAMN39949614"	"SAMN39949970"	"Staphylococcus aureus"	"Staphylococcus aureus"	"SAMN39950703"	""	"SAMN39950703"	"SRR27972925"	"SRR27972989"	"SRR27977259"	""
"RIVM_M096793"	"SAMN39949615"	"SAMN39949971"	"Staphylococcus aureus"	"Staphylococcus aureus"	"SAMN39950704"	""	"SAMN39950704"	"SRR27972922"	"SRR27972988"	"SRR27977257"	""
"RIVM_M096836"	"SAMN39949616"	"SAMN39949972"	"Staphylococcus aureus"	"Staphylococcus aureus"	"SAMN39950705"	""	"SAMN39950705"	"SRR27972921"	"SRR27972987"	"SRR27977256"	""
"RIVM_M096863"	"SAMN39949617"	"SAMN39949973"	"Staphylococcus aureus"	"Staphylococcus aureus"	"SAMN39950706"	""	"SAMN39950706"	"SRR27972920"	"SRR27972986"	"SRR27977255"	""
"RIVM_M096976"	"SAMN39949618"	"SAMN39949974"	"Staphylococcus aureus"	"Staphylococcus aureus"	"SAMN39950707"	""	"SAMN39950707"	"SRR27972919"	"SRR27972985"	"SRR27977254"	""
"RIVM_M096988"	"SAMN39949619"	"SAMN39949975"	"Staphylococcus aureus"	"Staphylococcus aureus"	"SAMN39950708"	""	"SAMN39950708"	"SRR27972918"	"SRR27972983"	"SRR27977253"	""
"RIVM_M096997"	"SAMN39949620"	"SAMN39949976"	"Staphylococcus aureus"	"Staphylococcus aureus"	"SAMN39950709"	""	"SAMN39950709"	"SRR27972917"	"SRR27972982"	"SRR27977252"	""
"RIVM_M097013"	"SAMN39949621"	"SAMN39949977"	"Staphylococcus aureus"	"Staphylococcus aureus"	"SAMN39950710"	""	"SAMN39950710"	"SRR27972916"	"SRR27972981"	"SRR27977251"	""
"RIVM_M097021"	"SAMN39949622"	"SAMN39949978"	"Staphylococcus aureus"	"Staphylococcus aureus"	"SAMN39950711"	""	"SAMN39950711"	"SRR27972915"	"SRR27972980"	"SRR27977250"	""
"RIVM_M097026"	"SAMN39949623"	"SAMN39949979"	"Staphylococcus aureus"	"Staphylococcus aureus"	"SAMN39950712"	""	"SAMN39950712"	"SRR27972914"	"SRR27972979"	"SRR27977249"	""
"RIVM_M097036"	"SAMN39949624"	"SAMN39949980"	"Staphylococcus aureus"	"Staphylococcus aureus"	"SAMN39950713"	""	"SAMN39950713"	"SRR27972913"	"SRR27972978"	"SRR27977248"	""
"RIVM_M097040"	"SAMN39949625"	"SAMN39949981"	"Staphylococcus aureus"	"Staphylococcus aureus"	"SAMN39950714"	""	"SAMN39950714"	"SRR27972911"	"SRR27972977"	"SRR27977246"	""
"RIVM_M097043"	"SAMN39949626"	"SAMN39949982"	"Staphylococcus aureus"	"Staphylococcus aureus"	"SAMN39950715"	""	"SAMN39950715"	"SRR27972910"	"SRR27972976"	"SRR27977245"	""
"RIVM_M097044"	"SAMN39949627"	"SAMN39949983"	"Staphylococcus aureus"	"Staphylococcus aureus"	"SAMN39950716"	""	"SAMN39950716"	"SRR27972909"	"SRR27972975"	"SRR27977244"	""
"RIVM_M097050"	"SAMN39949628"	"SAMN39949984"	"Staphylococcus aureus"	"Staphylococcus aureus"	"SAMN39950717"	""	"SAMN39950717"	"SRR27972908"	"SRR27972974"	"SRR27977243"	""
"RIVM_M097054"	"SAMN39949629"	"SAMN39949985"	"Staphylococcus aureus"	"Staphylococcus aureus"	"SAMN39950718"	""	"SAMN39950718"	"SRR27972907"	"SRR27972972"	"SRR27977242"	""
"RIVM_M097114"	"SAMN39949630"	"SAMN39949986"	"Staphylococcus aureus"	"Staphylococcus aureus"	"SAMN39950719"	""	"SAMN39950719"	"SRR27972906"	"SRR27972971"	"SRR27977241"	""
"RIVM_M097118"	"SAMN39949631"	"SAMN39949987"	"Staphylococcus aureus"	"Staphylococcus aureus"	"SAMN39950720"	""	"SAMN39950720"	"SRR27972905"	"SRR27972970"	"SRR27977240"	""
"RIVM_M097124"	"SAMN39949632"	"SAMN39949988"	"Staphylococcus aureus"	"Staphylococcus aureus"	"SAMN39950721"	""	"SAMN39950721"	"SRR27972904"	"SRR27972969"	"SRR27977051"	""
