"sample_unique"	"Accession_dorado"	"Accession_rerio"	"MDRO_dorado"	"MDRO_rerio"	"Accession_short"	"Accession_PRJNA903550"	"Accession_PRJNA1076808"	"SRR_dorado"	"SRR_rerio"	"SRR_short"	"empty"
"RIVM_C047430"	"SAMN39949315"	"SAMN39949671"	"Klebsiella pneumoniae"	"Klebsiella pneumoniae"	"SAMN39950424"	""	"SAMN39950424"	"SRR27972715"	"SRR27972537"	"SRR27977351"	""
"RIVM_C048187"	"SAMN39949316"	"SAMN39949672"	"Klebsiella pneumoniae"	"Klebsiella pneumoniae"	"SAMN39950425"	""	"SAMN39950425"	"SRR27972714"	"SRR27972536"	"SRR27977350"	""
"RIVM_C048193"	"SAMN39949317"	"SAMN39949673"	"Proteus mirabilis"	"Proteus mirabilis"	"SAMN38223551"	"SAMN38223551"	""	"SRR27972423"	"SRR27972895"	"SRR26803429"	""
"RIVM_C048206"	"SAMN39949318"	"SAMN39949674"	"Escherichia coli"	"Escherichia coli"	"SAMN39950426"	""	"SAMN39950426"	"SRR27972924"	"SRR27972894"	"SRR27977124"	""
"RIVM_C048208"	"SAMN39949319"	"SAMN39949675"	"Escherichia coli"	"Escherichia coli"	"SAMN39950427"	""	"SAMN39950427"	"SRR27972525"	"SRR27972892"	"SRR27977048"	""
"RIVM_C048214"	"SAMN39949320"	"SAMN39949676"	"Klebsiella pneumoniae"	"Klebsiella pneumoniae"	"SAMN38223554"	"SAMN38223554"	""	"SRR27972486"	"SRR27972891"	"SRR26803426"	""
"RIVM_C048217"	"SAMN39949321"	"SAMN39949677"	"Escherichia coli"	"Escherichia coli"	"SAMN39950428"	""	"SAMN39950428"	"SRR27973015"	"SRR27972890"	"SRR27977225"	""
"RIVM_C048218"	"SAMN39949322"	"SAMN39949678"	"Klebsiella pneumoniae"	"Klebsiella pneumoniae"	"SAMN39950429"	""	"SAMN39950429"	"SRR27972732"	"SRR27972889"	"SRR27977214"	""
"RIVM_C048221"	"SAMN39949323"	"SAMN39949679"	"Escherichia coli"	"Escherichia coli"	"SAMN39950430"	""	"SAMN39950430"	"SRR27972953"	"SRR27972888"	"SRR27977203"	""
"RIVM_C048222"	"SAMN39949324"	"SAMN39949680"	"Klebsiella pneumoniae"	"Klebsiella pneumoniae"	"SAMN39950431"	""	"SAMN39950431"	"SRR27972942"	"SRR27972887"	"SRR27977192"	""
"RIVM_C048232"	"SAMN39949325"	"SAMN39949681"	"Enterobacter cloacae"	"Enterobacter cloacae"	"SAMN39950432"	""	"SAMN39950432"	"SRR27972713"	"SRR27972886"	"SRR27977181"	""
"RIVM_C048637"	"SAMN39949326"	"SAMN39949682"	"Acinetobacter baumannii"	"Acinetobacter baumannii"	"SAMN39950433"	""	"SAMN39950433"	"SRR27972702"	"SRR27972885"	"SRR27977170"	""
"RIVM_C048646"	"SAMN39949327"	"SAMN39949683"	"Klebsiella pneumoniae"	"Klebsiella pneumoniae"	"SAMN39950434"	""	"SAMN39950434"	"SRR27972691"	"SRR27972884"	"SRR27977349"	""
"RIVM_C048651"	"SAMN39949328"	"SAMN39949684"	"Pseudomonas aeruginosa"	"Pseudomonas aeruginosa"	"SAMN39950435"	""	"SAMN39950435"	"SRR27972680"	"SRR27972883"	"SRR27977338"	""
"RIVM_C048671"	"SAMN39949329"	"SAMN39949685"	"Acinetobacter baumannii"	"Acinetobacter baumannii"	"SAMN38223557"	"SAMN38223557"	""	"SRR27972669"	"SRR27972881"	"SRR26803423"	""
"RIVM_C048678"	"SAMN39949330"	"SAMN39949686"	"Proteus mirabilis"	"Proteus mirabilis"	"SAMN39950436"	""	"SAMN39950436"	"SRR27972658"	"SRR27972880"	"SRR27977327"	""
"RIVM_C048694"	"SAMN39949331"	"SAMN39949687"	"Escherichia coli"	"Escherichia coli"	"SAMN39950437"	""	"SAMN39950437"	"SRR27972647"	"SRR27972879"	"SRR27977316"	""
"RIVM_C048714"	"SAMN39949332"	"SAMN39949688"	"Klebsiella pneumoniae"	"Klebsiella pneumoniae"	"SAMN38223565"	"SAMN38223565"	""	"SRR27972636"	"SRR27972878"	"SRR26803414"	""
"RIVM_C048758"	"SAMN39949333"	"SAMN39949689"	"Providencia stuartii"	"Providencia stuartii"	"SAMN38223578"	"SAMN38223578"	""	"SRR27972625"	"SRR27972877"	"SRR26803400"	""
"RIVM_C048765"	"SAMN39949334"	"SAMN39949690"	"Klebsiella pneumoniae"	"Klebsiella pneumoniae"	"SAMN39950438"	""	"SAMN39950438"	"SRR27972614"	"SRR27972876"	"SRR27977161"	""
"RIVM_C048766"	"SAMN39949335"	"SAMN39949691"	"Escherichia coli"	"Escherichia coli"	"SAMN39950439"	""	"SAMN39950439"	"SRR27972422"	"SRR27972875"	"SRR27977150"	""
"RIVM_C048768"	"SAMN39949336"	"SAMN39949692"	"Escherichia coli"	"Escherichia coli"	"SAMN39950440"	""	"SAMN39950440"	"SRR27972411"	"SRR27972874"	"SRR27977139"	""
"RIVM_C048771"	"SAMN39949337"	"SAMN39949693"	"Escherichia coli"	"Escherichia coli"	"SAMN39950441"	""	"SAMN39950441"	"SRR27972400"	"SRR27972873"	"SRR27977308"	""
"RIVM_C049097"	"SAMN39949338"	"SAMN39949694"	"Pseudomonas aeruginosa"	"Pseudomonas aeruginosa"	"SAMN39950442"	""	"SAMN39950442"	"SRR27972605"	"SRR27972872"	"SRR27977297"	""
"RIVM_C050075"	"SAMN39949339"	"SAMN39949695"	"Klebsiella pneumoniae"	"Klebsiella pneumoniae"	"SAMN39950443"	""	"SAMN39950443"	"SRR27972594"	"SRR27972870"	"SRR27977286"	""
"RIVM_C050090"	"SAMN39949340"	"SAMN39949696"	"Acinetobacter baumannii"	"Acinetobacter baumannii"	"SAMN39950444"	""	"SAMN39950444"	"SRR27972583"	"SRR27972869"	"SRR27977122"	""
"RIVM_C050098"	"SAMN39949341"	"SAMN39949697"	"Klebsiella pneumoniae"	"Klebsiella pneumoniae"	"SAMN38223591"	"SAMN38223591"	""	"SRR27972572"	"SRR27972868"	"SRR26803385"	""
"RIVM_C050118"	"SAMN39949342"	"SAMN39949698"	"Klebsiella pneumoniae"	"Klebsiella pneumoniae"	"SAMN38223592"	"SAMN38223592"	""	"SRR27972381"	"SRR27972867"	"SRR26803384"	""
"RIVM_C050119"	"SAMN39949343"	"SAMN39949699"	"Klebsiella pneumoniae"	"Klebsiella pneumoniae"	"SAMN38223593"	"SAMN38223593"	""	"SRR27972370"	"SRR27972866"	"SRR26803383"	""
"RIVM_C050120"	"SAMN39949344"	"SAMN39949700"	"Escherichia coli"	"Escherichia coli"	"SAMN38223594"	"SAMN38223594"	""	"SRR27972359"	"SRR27972865"	"SRR26803382"	""
"RIVM_C050122"	"SAMN39949345"	"SAMN39949701"	"Escherichia coli"	"Escherichia coli"	"SAMN38223595"	"SAMN38223595"	""	"SRR27972923"	"SRR27972864"	"SRR26803381"	""
"RIVM_C050123"	"SAMN39949346"	"SAMN39949702"	"Klebsiella pneumoniae"	"Klebsiella pneumoniae"	"SAMN38223596"	"SAMN38223596"	""	"SRR27972912"	"SRR27972863"	"SRR26803380"	""
"RIVM_C050124"	"SAMN39949347"	"SAMN39949703"	"Pseudomonas aeruginosa"	"Pseudomonas aeruginosa"	"SAMN38223597"	"SAMN38223597"	""	"SRR27972901"	"SRR27972862"	"SRR26803379"	""
"RIVM_C050125"	"SAMN39949348"	"SAMN39949704"	"Klebsiella pneumoniae"	"Klebsiella pneumoniae"	"SAMN38223598"	"SAMN38223598"	""	"SRR27972566"	"SRR27972861"	"SRR26803378"	""
"RIVM_C050131"	"SAMN39949349"	"SAMN39949705"	"Klebsiella pneumoniae"	"Klebsiella pneumoniae"	"SAMN39950445"	""	"SAMN39950445"	"SRR27972555"	"SRR27972535"	"SRR27977111"	""
"RIVM_C050134"	"SAMN39949350"	"SAMN39949706"	"Citrobacter freundii"	"Citrobacter freundii"	"SAMN39950446"	""	"SAMN39950446"	"SRR27972544"	"SRR27972534"	"SRR27977100"	""
"RIVM_C050138"	"SAMN39949351"	"SAMN39949707"	"Enterobacter cloacae"	"Enterobacter cloacae"	"SAMN39950447"	""	"SAMN39950447"	"SRR27972893"	"SRR27972533"	"SRR27977089"	""
"RIVM_C050142"	"SAMN39949352"	"SAMN39949708"	"Enterobacter cloacae"	"Enterobacter cloacae"	"SAMN39950448"	""	"SAMN39950448"	"SRR27972882"	"SRR27972532"	"SRR27977078"	""
"RIVM_C050146"	"SAMN39949353"	"SAMN39949709"	"Klebsiella pneumoniae"	"Klebsiella pneumoniae"	"SAMN38223599"	"SAMN38223599"	""	"SRR27972871"	"SRR27972531"	"SRR26803376"	""
"RIVM_C050147"	"SAMN39949354"	"SAMN39949710"	"Klebsiella pneumoniae"	"Klebsiella pneumoniae"	"SAMN38223600"	"SAMN38223600"	""	"SRR27972860"	"SRR27972530"	"SRR26803375"	""
"RIVM_C050148"	"SAMN39949355"	"SAMN39949711"	"Escherichia coli"	"Escherichia coli"	"SAMN38223601"	"SAMN38223601"	""	"SRR27972524"	"SRR27972529"	"SRR26803374"	""
"RIVM_C050151"	"SAMN39949356"	"SAMN39949712"	"Klebsiella pneumoniae"	"Klebsiella pneumoniae"	"SAMN38223602"	"SAMN38223602"	""	"SRR27972513"	"SRR27972528"	"SRR26803373"	""
"RIVM_C050152"	"SAMN39949357"	"SAMN39949713"	"Escherichia coli"	"Escherichia coli"	"SAMN38223603"	"SAMN38223603"	""	"SRR27972502"	"SRR27972527"	"SRR26803372"	""
"RIVM_C050165"	"SAMN39949358"	"SAMN39949714"	"Escherichia coli"	"Escherichia coli"	"SAMN39950449"	""	"SAMN39950449"	"SRR27972347"	"SRR27972526"	"SRR27977067"	""
"RIVM_C050171"	"SAMN39949359"	"SAMN39949715"	"Klebsiella pneumoniae"	"Klebsiella pneumoniae"	"SAMN38223604"	"SAMN38223604"	""	"SRR27973048"	"SRR27972523"	"SRR26803371"	""
"RIVM_C050172"	"SAMN39949360"	"SAMN39949716"	"Klebsiella pneumoniae"	"Klebsiella pneumoniae"	"SAMN38223605"	"SAMN38223605"	""	"SRR27973037"	"SRR27972522"	"SRR26803370"	""
"RIVM_C050173"	"SAMN39949361"	"SAMN39949717"	"Escherichia coli"	"Escherichia coli"	"SAMN39950450"	""	"SAMN39950450"	"SRR27972818"	"SRR27972521"	"SRR27977056"	""
"RIVM_C050178"	"SAMN39949362"	"SAMN39949718"	"Pseudomonas aeruginosa"	"Pseudomonas aeruginosa"	"SAMN39950451"	""	"SAMN39950451"	"SRR27972807"	"SRR27972520"	"SRR27977269"	""
"RIVM_C050191"	"SAMN39949363"	"SAMN39949719"	"Proteus mirabilis"	"Proteus mirabilis"	"SAMN39950452"	""	"SAMN39950452"	"SRR27972796"	"SRR27972519"	"SRR27977258"	""
"RIVM_C050227"	"SAMN39949364"	"SAMN39949720"	"Klebsiella oxytoca"	"Klebsiella oxytoca"	"SAMN39950453"	""	"SAMN39950453"	"SRR27972497"	"SRR27972518"	"SRR27977247"	""
"RIVM_C050329"	"SAMN39949365"	"SAMN39949721"	"Enterobacter cloacae"	"Enterobacter cloacae"	"SAMN39950454"	""	"SAMN39950454"	"SRR27972485"	"SRR27972517"	"SRR27977047"	""
"RIVM_C050332"	"SAMN39949366"	"SAMN39949722"	"Escherichia coli"	"Escherichia coli"	"SAMN39950455"	""	"SAMN39950455"	"SRR27972474"	"SRR27972516"	"SRR27977036"	""
"RIVM_C050405"	"SAMN39949367"	"SAMN39949723"	"Klebsiella pneumoniae"	"Klebsiella pneumoniae"	"SAMN39950456"	""	"SAMN39950456"	"SRR27972859"	"SRR27972515"	"SRR27977025"	""
"RIVM_C050406"	"SAMN39949368"	"SAMN39949724"	"Escherichia coli"	"Escherichia coli"	"SAMN39950457"	""	"SAMN39950457"	"SRR27972848"	"SRR27972514"	"SRR27977238"	""
"RIVM_C050422"	"SAMN39949369"	"SAMN39949725"	"Klebsiella pneumoniae"	"Klebsiella pneumoniae"	"SAMN39950458"	""	"SAMN39950458"	"SRR27972837"	"SRR27972512"	"SRR27977231"	""
"RIVM_C050428"	"SAMN39949370"	"SAMN39949726"	"Klebsiella pneumoniae"	"Klebsiella pneumoniae"	"SAMN39950459"	""	"SAMN39950459"	"SRR27972826"	"SRR27972511"	"SRR27977230"	""
"RIVM_C050449"	"SAMN39949371"	"SAMN39949727"	"Pseudomonas nitroreducens"	"Pseudomonas nitroreducens"	"SAMN39950460"	""	"SAMN39950460"	"SRR27972779"	"SRR27972510"	"SRR27977229"	""
"RIVM_C050505"	"SAMN39949372"	"SAMN39949728"	"Klebsiella pneumoniae"	"Klebsiella pneumoniae"	"SAMN39950461"	""	"SAMN39950461"	"SRR27972768"	"SRR27972509"	"SRR27977228"	""
"RIVM_C050506"	"SAMN39949373"	"SAMN39949729"	"Pseudomonas aeruginosa"	"Pseudomonas aeruginosa"	"SAMN39950462"	""	"SAMN39950462"	"SRR27972757"	"SRR27972508"	"SRR27977227"	""
"RIVM_C050529"	"SAMN39949374"	"SAMN39949730"	"Pseudomonas aeruginosa"	"Pseudomonas aeruginosa"	"SAMN39950463"	""	"SAMN39950463"	"SRR27973026"	"SRR27972507"	"SRR27977226"	""
"RIVM_C050547"	"SAMN39949375"	"SAMN39949731"	"Escherichia coli"	"Escherichia coli"	"SAMN39950464"	""	"SAMN39950464"	"SRR27973014"	"SRR27972506"	"SRR27977224"	""
"RIVM_C050562"	"SAMN39949376"	"SAMN39949732"	"Klebsiella pneumoniae"	"Klebsiella pneumoniae"	"SAMN39950465"	""	"SAMN39950465"	"SRR27973003"	"SRR27972505"	"SRR27977223"	""
"RIVM_C050564"	"SAMN39949377"	"SAMN39949733"	"Pseudomonas aeruginosa"	"Pseudomonas aeruginosa"	"SAMN39950466"	""	"SAMN39950466"	"SRR27972460"	"SRR27972504"	"SRR27977222"	""
"RIVM_C050706"	"SAMN39949378"	"SAMN39949734"	"Klebsiella pneumoniae"	"Klebsiella pneumoniae"	"SAMN39950467"	""	"SAMN39950467"	"SRR27972449"	"SRR27972503"	"SRR27977221"	""
"RIVM_C050709"	"SAMN39949379"	"SAMN39949735"	"Escherichia coli"	"Escherichia coli"	"SAMN39950468"	""	"SAMN39950468"	"SRR27972438"	"SRR27972501"	"SRR27977220"	""
"RIVM_C050712"	"SAMN39949380"	"SAMN39949736"	"Klebsiella pneumoniae"	"Klebsiella pneumoniae"	"SAMN39950469"	""	"SAMN39950469"	"SRR27972995"	"SRR27972500"	"SRR27977219"	""
"RIVM_C050713"	"SAMN39949381"	"SAMN39949737"	"Pseudomonas aeruginosa"	"Pseudomonas aeruginosa"	"SAMN39950470"	""	"SAMN39950470"	"SRR27972984"	"SRR27972355"	"SRR27977218"	""
"RIVM_C050862"	"SAMN39949382"	"SAMN39949738"	"Escherichia coli"	"Escherichia coli"	"SAMN39950471"	""	"SAMN39950471"	"SRR27972973"	"SRR27972354"	"SRR27977217"	""
"RIVM_C050863"	"SAMN39949383"	"SAMN39949739"	"Acinetobacter baumannii"	"Acinetobacter baumannii"	"SAMN39950472"	""	"SAMN39950472"	"SRR27972962"	"SRR27972353"	"SRR27977216"	""
"RIVM_C050864"	"SAMN39949384"	"SAMN39949740"	"Escherichia coli"	"Escherichia coli"	"SAMN39950473"	""	"SAMN39950473"	"SRR27972743"	"SRR27972352"	"SRR27977215"	""
"RIVM_C051019"	"SAMN39949385"	"SAMN39949741"	"Klebsiella pneumoniae"	"Klebsiella pneumoniae"	"SAMN39950474"	""	"SAMN39950474"	"SRR27972731"	"SRR27972351"	"SRR27977213"	""
"RIVM_C051020"	"SAMN39949386"	"SAMN39949742"	"Escherichia coli"	"Escherichia coli"	"SAMN39950475"	""	"SAMN39950475"	"SRR27972720"	"SRR27972350"	"SRR27977212"	""
"RIVM_C051022"	"SAMN39949387"	"SAMN39949743"	"Citrobacter freundii"	"Citrobacter freundii"	"SAMN39950476"	""	"SAMN39950476"	"SRR27972717"	"SRR27972349"	"SRR27977211"	""
"RIVM_C051023"	"SAMN39949388"	"SAMN39949744"	"Pseudomonas aeruginosa"	"Pseudomonas aeruginosa"	"SAMN39950477"	""	"SAMN39950477"	"SRR27972716"	"SRR27972348"	"SRR27977210"	""
"RIVM_C051024"	"SAMN39949389"	"SAMN39949745"	"Providencia stuartii"	"Providencia stuartii"	"SAMN39950478"	""	"SAMN39950478"	"SRR27972959"	"SRR27972346"	"SRR27977209"	""
"RIVM_C051025"	"SAMN39949390"	"SAMN39949746"	"Klebsiella pneumoniae"	"Klebsiella pneumoniae"	"SAMN39950479"	""	"SAMN39950479"	"SRR27972958"	"SRR27972345"	"SRR27977208"	""
"RIVM_C051028"	"SAMN39949391"	"SAMN39949747"	"Klebsiella pneumoniae"	"Klebsiella pneumoniae"	"SAMN39950480"	""	"SAMN39950480"	"SRR27972957"	"SRR27972344"	"SRR27977207"	""
"RIVM_C051029"	"SAMN39949392"	"SAMN39949748"	"Escherichia coli"	"Escherichia coli"	"SAMN39950481"	""	"SAMN39950481"	"SRR27972956"	"SRR27972343"	"SRR27977206"	""
"RIVM_C051238"	"SAMN39949393"	"SAMN39949749"	"Klebsiella pneumoniae"	"Klebsiella pneumoniae"	"SAMN39950482"	""	"SAMN39950482"	"SRR27972955"	"SRR27972342"	"SRR27977205"	""
"RIVM_C051239"	"SAMN39949394"	"SAMN39949750"	"Escherichia coli"	"Escherichia coli"	"SAMN39950483"	""	"SAMN39950483"	"SRR27972954"	"SRR27972341"	"SRR27977204"	""
"RIVM_C051240"	"SAMN39949395"	"SAMN39949751"	"Klebsiella pneumoniae"	"Klebsiella pneumoniae"	"SAMN39950484"	""	"SAMN39950484"	"SRR27972952"	"SRR27972340"	"SRR27977202"	""
"RIVM_C051241"	"SAMN39949396"	"SAMN39949752"	"Escherichia coli"	"Escherichia coli"	"SAMN39950485"	""	"SAMN39950485"	"SRR27972951"	"SRR27972339"	"SRR27977201"	""
"RIVM_C051242"	"SAMN39949397"	"SAMN39949753"	"Klebsiella pneumoniae"	"Klebsiella pneumoniae"	"SAMN39950486"	""	"SAMN39950486"	"SRR27972950"	"SRR27972338"	"SRR27977200"	""
"RIVM_C051246"	"SAMN39949398"	"SAMN39949754"	"Pseudomonas aeruginosa"	"Pseudomonas aeruginosa"	"SAMN39950487"	""	"SAMN39950487"	"SRR27972949"	"SRR27973049"	"SRR27977199"	""
"RIVM_C051247"	"SAMN39949399"	"SAMN39949755"	"Klebsiella pneumoniae"	"Klebsiella pneumoniae"	"SAMN39950488"	""	"SAMN39950488"	"SRR27972948"	"SRR27973047"	"SRR27977198"	""
"RIVM_C051250"	"SAMN39949400"	"SAMN39949756"	"Klebsiella pneumoniae"	"Klebsiella pneumoniae"	"SAMN39950489"	""	"SAMN39950489"	"SRR27972947"	"SRR27973046"	"SRR27977197"	""
"RIVM_C051251"	"SAMN39949401"	"SAMN39949757"	"Acinetobacter baumannii"	"Acinetobacter baumannii"	"SAMN39950490"	""	"SAMN39950490"	"SRR27972946"	"SRR27973045"	"SRR27977196"	""
"RIVM_C051252"	"SAMN39949402"	"SAMN39949758"	"Acinetobacter baumannii"	"Acinetobacter baumannii"	"SAMN39950491"	""	"SAMN39950491"	"SRR27972945"	"SRR27973044"	"SRR27977195"	""
"RIVM_C051260"	"SAMN39949403"	"SAMN39949759"	"Klebsiella pneumoniae"	"Klebsiella pneumoniae"	"SAMN39950492"	""	"SAMN39950492"	"SRR27972944"	"SRR27973043"	"SRR27977194"	""
"RIVM_C051261"	"SAMN39949404"	"SAMN39949760"	"Acinetobacter baumannii"	"Acinetobacter baumannii"	"SAMN39950493"	""	"SAMN39950493"	"SRR27972943"	"SRR27973042"	"SRR27977193"	""
"RIVM_C051263"	"SAMN39949405"	"SAMN39949761"	"Acinetobacter ursingii"	"Acinetobacter ursingii"	"SAMN39950494"	""	"SAMN39950494"	"SRR27972941"	"SRR27973041"	"SRR27977191"	""
"RIVM_C051268"	"SAMN39949406"	"SAMN39949762"	"Klebsiella pneumoniae"	"Klebsiella pneumoniae"	"SAMN39950495"	""	"SAMN39950495"	"SRR27972940"	"SRR27973040"	"SRR27977190"	""
"RIVM_C051269"	"SAMN39949407"	"SAMN39949763"	"Klebsiella pneumoniae"	"Klebsiella pneumoniae"	"SAMN39950496"	""	"SAMN39950496"	"SRR27972939"	"SRR27973039"	"SRR27977189"	""
"RIVM_C051270"	"SAMN39949408"	"SAMN39949764"	"Pseudomonas aeruginosa"	"Pseudomonas aeruginosa"	"SAMN39950497"	""	"SAMN39950497"	"SRR27972938"	"SRR27973038"	"SRR27977188"	""
"RIVM_C051271"	"SAMN39949409"	"SAMN39949765"	"Klebsiella pneumoniae"	"Klebsiella pneumoniae"	"SAMN39950498"	""	"SAMN39950498"	"SRR27972937"	"SRR27973036"	"SRR27977187"	""
"RIVM_C051274"	"SAMN39949410"	"SAMN39949766"	"Klebsiella pneumoniae"	"Klebsiella pneumoniae"	"SAMN39950499"	""	"SAMN39950499"	"SRR27972936"	"SRR27973035"	"SRR27977186"	""
"RIVM_C051275"	"SAMN39949411"	"SAMN39949767"	"Acinetobacter baumannii"	"Acinetobacter baumannii"	"SAMN39950500"	""	"SAMN39950500"	"SRR27972935"	"SRR27973034"	"SRR27977185"	""
"RIVM_C051276"	"SAMN39949412"	"SAMN39949768"	"Klebsiella pneumoniae"	"Klebsiella pneumoniae"	"SAMN39950501"	""	"SAMN39950501"	"SRR27972934"	"SRR27973033"	"SRR27977184"	""
"RIVM_C051277"	"SAMN39949413"	"SAMN39949769"	"Klebsiella pneumoniae"	"Klebsiella pneumoniae"	"SAMN39950502"	""	"SAMN39950502"	"SRR27972933"	"SRR27973032"	"SRR27977183"	""
"RIVM_C051278"	"SAMN39949414"	"SAMN39949770"	"Pseudomonas aeruginosa"	"Pseudomonas aeruginosa"	"SAMN39950503"	""	"SAMN39950503"	"SRR27972932"	"SRR27972823"	"SRR27977182"	""
"RIVM_C051283"	"SAMN39949415"	"SAMN39949771"	"Klebsiella pneumoniae"	"Klebsiella pneumoniae"	"SAMN39950504"	""	"SAMN39950504"	"SRR27972712"	"SRR27972822"	"SRR27977180"	""
"RIVM_C055095"	"SAMN39949416"	"SAMN39949772"	"Escherichia coli"	"Escherichia coli"	"SAMN39950505"	""	"SAMN39950505"	"SRR27972711"	"SRR27972821"	"SRR27977179"	""
"RIVM_C055099"	"SAMN39949417"	"SAMN39949773"	"Klebsiella pneumoniae"	"Klebsiella pneumoniae"	"SAMN39950506"	""	"SAMN39950506"	"SRR27972710"	"SRR27972820"	"SRR27977178"	""
"RIVM_C055103"	"SAMN39949418"	"SAMN39949774"	"Escherichia coli"	"Escherichia coli"	"SAMN39950507"	""	"SAMN39950507"	"SRR27972709"	"SRR27972819"	"SRR27977177"	""
"RIVM_C055108"	"SAMN39949419"	"SAMN39949775"	"Pseudomonas aeruginosa"	"Pseudomonas aeruginosa"	"SAMN39950508"	""	"SAMN39950508"	"SRR27972708"	"SRR27972817"	"SRR27977176"	""
"RIVM_C055110"	"SAMN39949420"	"SAMN39949776"	"Klebsiella pneumoniae"	"Klebsiella pneumoniae"	"SAMN39950509"	""	"SAMN39950509"	"SRR27972707"	"SRR27972816"	"SRR27977175"	""
"RIVM_C055115"	"SAMN39949421"	"SAMN39949777"	"Klebsiella pneumoniae"	"Klebsiella pneumoniae"	"SAMN39950510"	""	"SAMN39950510"	"SRR27972706"	"SRR27972815"	"SRR27977174"	""
"RIVM_C055116"	"SAMN39949422"	"SAMN39949778"	"Pseudomonas aeruginosa"	"Pseudomonas aeruginosa"	"SAMN39950511"	""	"SAMN39950511"	"SRR27972705"	"SRR27972814"	"SRR27977173"	""
"RIVM_C055117"	"SAMN39949423"	"SAMN39949779"	"Escherichia coli"	"Escherichia coli"	"SAMN39950512"	""	"SAMN39950512"	"SRR27972704"	"SRR27972813"	"SRR27977172"	""
"RIVM_C055118"	"SAMN39949424"	"SAMN39949780"	"Klebsiella pneumoniae"	"Klebsiella pneumoniae"	"SAMN39950513"	""	"SAMN39950513"	"SRR27972703"	"SRR27972812"	"SRR27977171"	""
"RIVM_C055122"	"SAMN39949425"	"SAMN39949781"	"Klebsiella pneumoniae"	"Klebsiella pneumoniae"	"SAMN39950514"	""	"SAMN39950514"	"SRR27972701"	"SRR27972811"	"SRR27977169"	""
"RIVM_C055123"	"SAMN39949426"	"SAMN39949782"	"Klebsiella pneumoniae"	"Klebsiella pneumoniae"	"SAMN39950515"	""	"SAMN39950515"	"SRR27972700"	"SRR27972810"	"SRR27977168"	""
"RIVM_C055124"	"SAMN39949427"	"SAMN39949783"	"Escherichia coli"	"Escherichia coli"	"SAMN39950516"	""	"SAMN39950516"	"SRR27972699"	"SRR27972809"	"SRR27977131"	""
"RIVM_C055125"	"SAMN39949428"	"SAMN39949784"	"Escherichia coli"	"Escherichia coli"	"SAMN39950517"	""	"SAMN39950517"	"SRR27972698"	"SRR27972808"	"SRR27977130"	""
"RIVM_C055126"	"SAMN39949429"	"SAMN39949785"	"Escherichia coli"	"Escherichia coli"	"SAMN39950518"	""	"SAMN39950518"	"SRR27972697"	"SRR27972806"	"SRR27977129"	""
"RIVM_C055134"	"SAMN39949430"	"SAMN39949786"	"Citrobacter freundii"	"Citrobacter freundii"	"SAMN39950519"	""	"SAMN39950519"	"SRR27972696"	"SRR27972805"	"SRR27977128"	""
"RIVM_C055135"	"SAMN39949431"	"SAMN39949787"	"Klebsiella pneumoniae"	"Klebsiella pneumoniae"	"SAMN39950520"	""	"SAMN39950520"	"SRR27972695"	"SRR27972804"	"SRR27977127"	""
"RIVM_C055167"	"SAMN39949432"	"SAMN39949788"	"Escherichia coli"	"Escherichia coli"	"SAMN39950521"	""	"SAMN39950521"	"SRR27972694"	"SRR27972803"	"SRR27977126"	""
"RIVM_C055169"	"SAMN39949433"	"SAMN39949789"	"Escherichia coli"	"Escherichia coli"	"SAMN39950522"	""	"SAMN39950522"	"SRR27972693"	"SRR27972802"	"SRR27977125"	""
"RIVM_C055170"	"SAMN39949434"	"SAMN39949790"	"Klebsiella oxytoca"	"Klebsiella oxytoca"	"SAMN39950523"	""	"SAMN39950523"	"SRR27972692"	"SRR27972801"	"SRR27977123"	""
"RIVM_C055171"	"SAMN39949435"	"SAMN39949791"	"Pseudomonas aeruginosa"	"Pseudomonas aeruginosa"	"SAMN39950524"	""	"SAMN39950524"	"SRR27972690"	"SRR27972800"	"SRR27977348"	""
"RIVM_C055172"	"SAMN39949436"	"SAMN39949792"	"Klebsiella pneumoniae"	"Klebsiella pneumoniae"	"SAMN39950525"	""	"SAMN39950525"	"SRR27972689"	"SRR27972799"	"SRR27977347"	""
"RIVM_C055176"	"SAMN39949437"	"SAMN39949793"	"Escherichia coli"	"Escherichia coli"	"SAMN39950526"	""	"SAMN39950526"	"SRR27972688"	"SRR27972798"	"SRR27977346"	""
"RIVM_C055179"	"SAMN39949438"	"SAMN39949794"	"Escherichia coli"	"Escherichia coli"	"SAMN39950527"	""	"SAMN39950527"	"SRR27972687"	"SRR27972797"	"SRR27977345"	""
"RIVM_C055180"	"SAMN39949439"	"SAMN39949795"	"Citrobacter freundii"	"Citrobacter freundii"	"SAMN39950528"	""	"SAMN39950528"	"SRR27972686"	"SRR27972795"	"SRR27977344"	""
"RIVM_C055181"	"SAMN39949440"	"SAMN39949796"	"Klebsiella pneumoniae"	"Klebsiella pneumoniae"	"SAMN39950529"	""	"SAMN39950529"	"SRR27972685"	"SRR27972794"	"SRR27977343"	""
"RIVM_C055182"	"SAMN39949441"	"SAMN39949797"	"Escherichia coli"	"Escherichia coli"	"SAMN39950530"	""	"SAMN39950530"	"SRR27972684"	"SRR27972793"	"SRR27977342"	""
